book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,11,4,0,1,6,4,0,0
1,11,4,0,10,8,13,0,0
1,11,4,0,5,4,27,0,0
1,11,5,0,1,18,21,0,0
1,11,5,0,2,3,8,0,0
1,11,5,0,2,19,11,0,0
1,11,5,0,2,19,18,0,0
1,11,5,0,2,19,20,0,0
1,11,6,0,1,11,1,0,0
1,11,7,0,1,1,26,0,0
1,11,7,0,2,4,11,0,0
1,11,7,0,23,33,19,0,0
1,11,8,0,1,11,4,0,0
1,11,9,0,1,10,10,0,0
1,11,10,0,1,10,22,25,0
1,11,24,0,6,24,2,0,0
1,11,27,0,1,11,27,0,0
1,11,27,0,1,12,4,0,0
1,11,28,0,1,11,31,0,0
1,11,29,0,1,24,10,0,0
1,11,29,0,1,20,12,0,0
1,11,29,0,1,22,20,0,0
1,11,29,0,1,22,23,0,0
1,11,29,0,1,24,15,0,0
1,11,30,0,1,16,1,0,0
1,11,31,0,1,15,7,0,0
1,11,31,0,16,9,7,0,0
1,12,1,0,44,7,3,0,0
1,12,1,0,58,11,8,0,0
1,12,2,0,1,17,4,5,0
1,12,2,0,1,18,18,0,0
1,12,2,0,1,22,17,0,0
1,12,2,0,38,8,13,0,0
1,12,3,0,1,27,29,0,0
1,12,3,0,44,3,25,0,0
