book,chapter,verse,verse_end,book_to,chapter_to,verse_to_start,verse_to_end,votes
1,26,3,0,1,22,16,0,0
1,26,4,0,1,22,18,0,0
1,26,4,0,19,72,17,0,0
1,26,7,0,1,12,13,0,0
1,26,7,0,1,20,2,0,0
1,26,7,0,1,20,13,0,0
1,26,7,0,20,20,25,0,0
1,26,10,0,1,20,9,0,0
1,26,14,0,21,4,4,0,0
1,26,24,0,19,27,1,0,0
1,26,24,0,19,27,5,0,0
1,26,24,0,23,51,12,0,0
1,26,27,0,1,26,16,0,0
1,26,28,0,1,21,23,0,0
1,26,28,0,38,8,23,0,0
1,26,30,0,1,31,54,0,0
1,26,34,0,1,36,2,0,0
1,26,35,0,1,27,45,0,0
1,27,4,0,1,27,25,0,0
1,27,11,0,1,25,25,0,0
1,27,13,0,9,25,24,0,0
1,27,13,0,10,14,9,0,0
1,27,20,0,2,20,7,0,0
1,27,23,0,1,27,16,0,0
1,27,24,0,49,4,25,0,0
1,27,27,0,58,11,20,0,0
1,27,28,0,5,33,13,0,0
1,27,28,0,5,33,28,0,0
1,27,29,0,1,25,23,0,0
1,27,34,0,58,12,17,0,0
1,27,36,0,1,25,26,0,0
1,27,36,0,1,25,34,0,0
1,27,37,0,1,27,29,0,0
1,27,37,0,10,8,14,0,0
1,27,40,0,12,8,20,0,0
1,27,40,0,14,21,8,0,0
1,27,43,0,1,11,31,0,0
1,27,46,0,1,26,35,0,0
1,28,1,0,1,24,3,0,0
1,28,2,0,28,12,12,0,0
1,28,2,0,1,25,20,0,0
1,28,2,0,1,24,29,0,0
1,28,4,0,1,12,2,0,0
1,28,4,0,1,17,8,0,0
1,28,6,0,1,27,33,0,0
1,28,12,0,43,1,51,0,0
1,28,12,0,58,1,14,0,0
1,28,13,0,1,26,24,0,0
1,28,14,0,1,13,16,0,0
1,28,14,0,1,22,18,0,0
1,28,15,0,19,121,5,0,0
1,28,15,0,19,121,8,0,0
1,28,15,0,1,35,6,0,0
1,28,20,0,10,15,8,0,0
1,28,22,0,1,35,7,0,0
1,29,10,0,2,2,17,0,0
1,29,12,0,1,13,8,0,0
1,29,12,0,1,14,14,0,0
1,29,12,0,1,14,16,0,0
1,29,12,0,1,35,6,0,0
1,29,14,0,7,9,2,0,0
1,29,14,0,10,5,1,0,0
1,29,14,0,10,19,12,0,0
1,29,20,0,28,12,13,0,0
1,29,29,0,1,35,22,0,0
1,29,29,0,1,37,2,0,0
1,29,30,0,5,21,15,0,0
1,29,31,0,19,127,3,0,0
1,29,31,0,1,30,1,0,0
1,30,1,0,59,4,5,0,0
1,30,2,0,9,1,5,0,0
1,30,4,0,1,16,3,0,0
1,30,14,0,22,7,13,0,0
1,30,17,0,42,1,13,0,0
1,30,22,0,9,1,19,0,0
1,30,23,0,9,1,6,0,0
1,30,23,0,23,4,1,0,0
1,30,27,0,1,39,3,0,0
1,30,27,0,1,39,5,0,0
1,30,32,0,1,31,8,0,0
1,30,39,0,1,31,9,0,0
1,30,39,0,1,31,12,0,0
1,31,1,0,21,4,4,0,0
1,31,3,0,1,28,15,0,0
1,31,7,0,4,14,22,0,0
1,31,7,0,16,4,12,0,0
1,31,7,0,18,19,3,0,0
1,31,7,0,38,8,23,0,0
1,31,7,0,18,1,10,0,0
1,31,7,0,19,37,28,0,0
1,31,7,0,19,105,14,0,0
1,31,10,0,1,30,39,0,0
1,31,11,0,1,48,16,0,0
1,31,12,0,21,5,8,0,0
1,31,13,0,1,28,18,0,0
1,31,13,0,1,32,9,0,0
1,31,15,0,1,29,15,0,0
1,31,15,0,1,29,27,0,0
1,31,18,0,1,28,21,0,0
1,31,21,0,1,15,18,0,0
1,31,24,0,1,20,3,0,0
1,31,24,0,18,33,15,0,0
1,31,30,0,7,18,24,0,0
1,31,34,0,1,31,19,0,0
1,31,35,0,6,24,2,0,0
1,31,36,0,49,4,26,0,0
1,31,39,0,2,22,10,0,0
1,31,39,0,2,22,13,0,0
1,31,41,0,1,29,18,0,0
1,31,41,0,1,29,30,0,0
1,31,41,0,1,31,7,0,0
1,31,42,0,1,31,53,0,0
1,31,44,0,1,26,28,0,0
1,31,45,0,1,28,18,0,0
1,31,48,0,6,22,27,0,0
1,31,48,0,6,24,27,0,0
1,31,50,0,9,12,5,0,0
1,31,50,0,24,42,5,0,0
1,31,53,0,28,10,14,0,0
1,32,1,0,19,91,11,0,0
1,32,1,0,58,1,14,0,0
1,32,4,0,20,15,1,0,0
1,32,9,0,19,50,15,0,0
1,32,9,0,1,31,3,0,0
1,32,9,0,1,31,13,0,0
1,32,10,0,19,18,35,0,0
1,32,11,0,28,10,14,0,0
1,32,12,0,1,28,13,0,0
1,32,12,0,1,28,15,0,0
1,32,13,0,20,18,16,0,0
1,32,20,0,20,21,14,0,0
1,32,22,0,5,3,16,0,0
1,32,26,0,42,18,1,0,0
1,32,28,0,1,33,4,0,0
1,32,29,0,7,13,18,0,0
1,32,30,0,7,6,22,0,0
1,32,30,0,7,13,22,23,0
1,32,30,0,23,6,5,0,0
1,33,1,0,1,32,6,0,0
1,33,4,0,1,32,28,0,0
1,33,8,0,1,32,5,0,0
1,33,9,0,20,16,7,0,0
1,33,14,0,1,32,3,0,0
1,33,17,0,6,13,27,0,0
1,33,17,0,7,8,5,0,0
1,33,18,0,43,4,5,0,0
1,33,19,0,6,24,22,0,0
1,33,19,0,44,7,16,0,0
1,33,20,0,1,35,7,0,0
1,34,1,0,1,30,21,0,0
1,34,1,0,56,2,5,0,0
1,34,4,0,7,14,2,0,0
1,34,14,0,6,5,9,0,0
1,34,24,0,1,23,18,0,0
1,34,25,0,1,49,5,0,0
1,34,25,0,1,49,7,0,0
1,34,30,0,2,5,21,0,0
1,34,30,0,9,27,12,0,0
1,35,1,0,1,28,19,0,0
1,35,2,0,1,18,19,0,0
1,35,2,0,1,31,19,0,0
1,35,2,0,19,101,2,0,0
1,35,2,0,19,101,7,0,0
1,35,2,0,9,7,3,0,0
1,35,3,0,1,28,20,0,0
1,35,3,0,1,31,3,0,0
1,35,3,0,1,31,42,0,0
1,35,3,0,1,32,7,0,0
1,35,3,0,1,32,24,0,0
1,35,4,0,28,2,13,0,0
1,35,4,0,6,24,26,0,0
1,35,4,0,7,9,6,0,0
1,35,5,0,2,23,27,0,0
1,35,5,0,5,11,25,0,0
1,35,5,0,6,2,9,0,0
1,35,5,0,14,14,14,0,0
1,35,10,0,1,32,28,0,0
1,35,11,0,1,17,1,0,0
1,35,11,0,2,6,3,0,0
1,35,12,0,1,12,7,0,0
1,35,12,0,1,26,3,0,0
1,35,13,0,1,17,22,0,0
1,35,14,0,1,28,18,0,0
1,35,17,0,9,4,20,0,0
1,35,19,0,1,48,7,0,0
1,35,19,0,8,1,2,0,0
1,35,19,0,33,5,2,0,0
1,35,19,0,40,2,6,0,0
1,35,20,0,9,10,2,0,0
1,35,22,0,1,49,4,0,0
1,35,22,0,13,5,1,0,0
1,35,22,0,46,5,1,0,0
1,35,27,0,1,13,18,0,0
1,35,27,0,6,14,15,0,0
1,35,27,0,6,15,13,0,0
1,35,29,0,1,25,8,9,0
1,36,1,0,1,25,30,0,0
1,36,2,0,1,26,34,0,0
1,36,4,0,13,1,35,0,0
1,36,8,0,5,2,5,0,0
1,36,8,0,6,24,4,0,0
1,36,20,0,1,14,6,0,0
1,36,20,0,5,2,12,0,0
1,36,20,0,5,2,22,0,0
1,37,1,0,1,17,8,0,0
1,37,1,0,1,23,4,0,0
1,37,1,0,1,28,4,0,0
1,37,1,0,58,11,9,0,0
1,37,1,0,58,11,16,0,0
1,37,4,0,1,49,23,0,0
1,37,4,0,19,38,19,0,0
1,37,4,0,19,69,4,0,0
1,37,4,0,56,3,3,0,0
1,37,8,0,1,42,6,0,0
